ticker,expiry,lot_size,method
ADANIENT,2020-01-30,4000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2020-02-27,4000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2020-03-26,4000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2020-04-30,4000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2020-08-27,4000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2020-09-24,4000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2020-10-29,4000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2020-11-26,2000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2020-12-31,2000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2021-01-28,2000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2021-02-25,2000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2021-03-25,2000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2021-04-29,2000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2021-05-27,1000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2021-06-24,1000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2021-07-29,1000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2021-08-26,1000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2021-09-30,1000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2021-10-28,1000,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2021-11-25,500,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2021-12-30,500,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2022-01-27,500,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2022-02-24,500,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2022-03-31,500,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2022-04-28,500,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2022-05-26,500,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2022-06-30,500,legacy NSE turnover estimate validated by open-interest divisibility
ADANIENT,2022-07-28,500,legacy NSE turnover estimate validated by open-interest divisibility
